objid,specz,ra,dec,proj_sep,velocity
1237671939804627395,0.07087519,258.40361,63.98859,9.530087843,21247847.421317022
1237671939804627412,0.0776457,258.36616,64.122564,6.459328942,23277595.2561306
1237671939804627419,0.0785919,258.40644,64.022284,8.407069532,23561258.879890203
1237671939804627439,0.08193492,258.41279,64.133447,7.818801055,24563471.062833358
1237671939804627451,0.084621945,258.42904,64.081958,7.883284246,25369020.892290812
1237671939804627453,0.09021114,258.43112,64.083849,7.930629104,27044619.399582118
1237671939804627462,0.08206038,258.45078,64.020363,9.483937313,24601083.02461404
1237671939804627464,0.071804485,258.44994,64.025909,9.316140418,21526443.05357413
1237671939804627483,0.08079002,258.43205,64.123685,8.146153679,24220238.67766916
1237671939804627518,0.08287635,258.46676,64.119499,8.986028878,24845704.6765683
1237671939804627535,0.080897405,258.48871,64.111343,9.483374281,24252431.890771493
